,PLAYER_ID,PLAYER_NAME,NICKNAME,TEAM_ID,TEAM_ABBREVIATION,AGE,GP,W,L,W_PCT,MIN,FGM,FGA,FG_PCT,FG3M,FG3A,FG3_PCT,FTM,FTA,FT_PCT,OREB,DREB,REB,AST,TOV,STL,BLK,BLKA,PF,PFD,PTS,PLUS_MINUS,NBA_FANTASY_PTS,DD2,TD3,WNBA_FANTASY_PTS,GP_RANK,W_RANK,L_RANK,W_PCT_RANK,MIN_RANK,FGM_RANK,FGA_RANK,FG_PCT_RANK,FG3M_RANK,FG3A_RANK,FG3_PCT_RANK,FTM_RANK,FTA_RANK,FT_PCT_RANK,OREB_RANK,DREB_RANK,REB_RANK,AST_RANK,TOV_RANK,STL_RANK,BLK_RANK,BLKA_RANK,PF_RANK,PFD_RANK,PTS_RANK,PLUS_MINUS_RANK,NBA_FANTASY_PTS_RANK,DD2_RANK,TD3_RANK,WNBA_FANTASY_PTS_RANK,TEAM_COUNT
1440,1627815,Sheldon Mac,Sheldon,1610612764.0,WAS,24.0,30,17,13,0.567,9.6,1.0,2.5,0.4,0.2,1.0,0.233,0.8,0.9,0.852,0.1,1.0,1.1,0.5,0.2,0.3,0.1,0.1,0.6,1.0,3.0,-1.8,5.9,0,0,5.5,652,507,656,561,1352,1293,1336,1025,1026,981,1024,1032,1128,305,1387,1316,1389,1197,1498,1255,1180,1214,1464,1142,1271,1069,1377,512,39,1386,1
1441,1627815,Sheldon Mac,Sheldon,1612709909.0,DEL,24.0,6,4,2,0.667,25.6,3.7,6.7,0.55,0.5,1.7,0.3,2.8,4.3,0.654,0.8,2.7,3.5,1.5,1.3,1.5,0.2,0.7,1.0,3.2,10.7,-0.5,20.8,0,0,19.5,963,906,1151,270,481,540,716,180,776,804,803,250,189,1111,683,675,680,627,629,131,955,291,1273,275,485,817,551,512,39,573,1
1442,202714,Shelvin Mack,Shelvin,1610612762.0,UTA,27.0,55,34,21,0.618,21.9,3.1,6.9,0.446,0.7,2.2,0.308,1.0,1.4,0.688,0.4,1.9,2.3,2.8,1.6,0.8,0.1,0.3,1.8,1.2,7.8,0.3,15.6,0,0,15.2,283,169,390,413,680,668,692,696,661,659,776,928,884,1007,1121,986,1060,273,484,629,1203,761,857,970,731,644,807,512,39,788,1
1443,203018,Shenise Johnson,Shenise,1611661325.0,IND,26.0,29,16,13,0.552,22.4,3.4,8.2,0.41,1.0,2.7,0.359,2.1,2.2,0.938,0.9,2.6,3.5,2.1,1.7,1.2,0.3,0.2,1.8,2.4,9.8,-1.4,20.1,0,0,19.4,663,536,656,583,658,608,537,969,518,528,459,408,567,130,631,717,677,433,474,252,632,1146,878,449,561,983,579,512,39,577,1
1444,1628123,Shevon Thompson,Shevon,1612709913.0,ERI,24.0,17,3,14,0.176,21.3,5.1,9.2,0.558,0.0,0.0,0.0,1.9,2.8,0.667,3.5,3.9,7.5,0.4,2.2,0.6,0.4,0.9,2.6,2.2,12.1,-3.4,22.4,5,0,21.9,817,987,632,1460,711,276,447,162,1178,1370,1178,486,418,1047,29,337,128,1326,245,760,624,151,392,531,389,1347,475,168,39,454,1
1445,203830,Shoni Schimmel,Shoni,1611661313.0,NYL,25.0,17,11,6,0.647,4.5,0.6,1.2,0.55,0.5,0.9,0.563,0.2,0.3,0.8,0.0,0.5,0.5,0.6,0.4,0.2,0.1,0.1,0.2,0.2,2.1,1.3,3.8,0,0,4.1,817,683,848,353,1528,1434,1512,180,765,1047,43,1385,1417,503,1434,1503,1534,1157,1370,1353,1198,1241,1537,1502,1402,484,1480,512,39,1458,1
1446,1627919,Shonn Miller,Shonn,1612709922.0,GBO,23.0,45,18,27,0.4,15.6,2.0,4.0,0.494,0.2,0.8,0.286,0.8,1.2,0.625,1.1,2.4,3.5,0.4,0.6,0.7,0.6,0.2,2.3,1.3,5.0,0.3,13.2,1,0,11.8,398,473,280,1028,1041,1022,1103,396,1031,1081,855,1025,950,1156,489,785,692,1285,1193,690,346,1018,544,938,1072,652,933,359,39,990,1
1447,1627746,Skal Labissiere,Skal,1610612758.0,SAC,21.0,33,9,24,0.273,18.5,3.5,6.6,0.537,0.1,0.2,0.375,1.6,2.2,0.703,1.5,3.4,4.9,0.8,1.1,0.5,0.4,0.5,1.9,1.9,8.8,-1.2,17.4,2,0,16.3,574,748,336,1341,862,571,726,228,1118,1249,362,589,564,965,315,456,406,1000,784,987,577,535,786,635,651,957,716,281,39,733,1
1448,1627746,Skal Labissiere,Skal,1612709914.0,RNO,21.0,17,7,10,0.412,31.0,5.9,13.0,0.457,0.3,1.8,0.167,2.7,3.8,0.708,2.8,4.8,7.6,1.1,2.5,0.9,1.3,0.3,4.4,3.1,14.9,-8.2,29.8,4,0,28.3,817,810,743,1009,202,174,173,612,975,771,1113,269,253,948,74,206,120,832,169,483,104,873,22,278,232,1542,215,193,39,226,1
1449,203400,Skylar Diggins,Skylar,1611661321.0,DAL,26.0,27,9,18,0.333,28.3,4.2,10.7,0.39,0.9,2.9,0.299,3.9,4.9,0.788,0.4,1.4,1.9,3.4,2.3,1.1,0.3,0.8,2.0,3.3,13.1,-4.0,22.2,0,0,21.9,682,748,484,1205,333,441,311,1110,558,491,816,142,146,579,1026,1171,1193,212,206,334,724,211,780,247,328,1397,488,512,39,455,1
1450,203524,Solomon Hill,Solomon,1610612740.0,NOP,26.0,80,34,46,0.425,29.7,2.3,6.0,0.383,1.2,3.4,0.348,1.3,1.6,0.805,0.6,3.2,3.8,1.8,1.0,0.9,0.4,0.3,2.3,1.3,7.0,0.1,17.2,0,0,16.4,38,169,42,983,268,899,822,1147,397,404,536,714,790,491,841,509,603,539,841,514,535,848,551,929,800,692,733,512,39,731,1
1451,200780,Solomon Jones,Solomon,1612709889.0,OKL,32.0,3,2,1,0.667,14.9,2.3,5.0,0.467,0.0,0.0,0.0,0.3,0.7,0.5,1.0,1.3,2.3,1.3,0.7,1.3,1.0,0.3,1.7,1.0,5.0,-2.7,16.1,0,0,13.3,1319,1123,1326,270,1080,885,938,539,1178,1370,1178,1312,1236,1317,525,1203,1038,695,1152,191,148,772,945,1056,1058,1227,778,512,39,896,1
1452,201909,Sonja Petrovic,Sonja,1611661317.0,PHO,28.0,31,15,16,0.484,14.8,1.6,3.9,0.418,0.4,1.0,0.344,1.5,1.5,0.957,0.8,1.4,2.2,0.6,1.0,0.6,0.2,0.3,2.2,1.1,5.1,-3.1,10.2,0,0,9.9,630,572,559,856,1087,1110,1135,910,918,979,560,639,832,122,700,1174,1080,1114,849,848,828,928,611,1025,1048,1306,1135,512,39,1117,1
1453,203915,Spencer Dinwiddie,Spencer,1610612751.0,BKN,24.0,59,13,46,0.22,22.6,2.3,5.1,0.444,0.6,1.7,0.376,2.1,2.7,0.792,0.5,2.3,2.8,3.1,1.1,0.7,0.4,0.4,2.0,1.9,7.3,-2.3,17.6,0,0,16.2,267,632,42,1403,653,908,927,722,693,795,359,397,452,558,1016,830,899,237,789,659,581,747,689,642,774,1154,701,512,39,744,1
1454,203915,Spencer Dinwiddie,Spencer,1612709923.0,WCB,24.0,9,5,4,0.556,37.4,6.3,13.2,0.479,1.3,3.2,0.414,5.4,6.8,0.803,0.3,3.3,3.7,8.1,2.8,2.2,0.6,1.2,3.1,5.1,19.4,6.4,41.6,3,0,38.1,904,870,913,574,11,127,165,467,325,426,206,45,55,497,1145,463,639,14,118,26,401,45,178,69,90,83,34,227,39,48,1
1455,201150,Spencer Hawes,Spencer,1610612749.0,MIL,29.0,54,27,27,0.5,14.8,2.5,5.1,0.484,0.5,1.5,0.309,0.8,1.0,0.846,0.7,2.8,3.5,1.5,0.9,0.3,0.6,0.3,1.4,1.0,6.2,-3.2,14.3,3,0,13.4,287,289,280,689,1091,841,926,437,847,854,775,994,1103,321,784,633,673,627,990,1248,401,871,1109,1052,891,1323,861,227,39,890,2
1456,1626169,Stanley Johnson,Stanley,1610612765.0,DET,21.0,77,35,42,0.455,17.8,1.7,4.7,0.353,0.6,2.0,0.292,0.5,0.7,0.679,0.5,2.0,2.5,1.4,0.9,0.7,0.3,0.2,1.6,0.6,4.4,0.0,11.6,0,0,10.9,85,155,75,922,903,1096,996,1269,741,682,838,1239,1233,1029,1011,970,1008,689,979,676,708,1044,1005,1288,1130,696,1039,512,39,1056,1
1457,1626169,Stanley Johnson,Stanley,1612709917.0,GRD,21.0,1,0,1,0.0,37.4,9.0,19.0,0.474,3.0,8.0,0.375,5.0,8.0,0.625,1.0,4.0,5.0,4.0,3.0,1.0,1.0,0.0,4.0,4.0,26.0,-1.0,41.0,0,0,42.0,1528,1477,1326,1477,10,15,15,493,21,14,362,62,19,1156,525,306,382,136,72,366,148,1310,28,144,14,902,40,512,39,22,1
